Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2012,S92000003,d,0-44 years,,Males,,Coronary Heart Disease,86,,5.88018507540654,,6.172823438374109
2012,S92000003,d,0-44 years,,Females,,Coronary Heart Disease,25,,1.70250090573048,,1.7140137806137892
2012,S92000003,d,45-64 years,,Males,,Coronary Heart Disease,906,,127.286342287867,,129.12178692083418
2012,S92000003,d,45-64 years,,Females,,Coronary Heart Disease,226,,30.3310513467121,,30.83474536912963
2012,S92000003,d,65-74 years,,Males,,Coronary Heart Disease,1023,,428.071085743936,,439.22744202217433
2012,S92000003,d,65-74 years,,Females,,Coronary Heart Disease,487,,181.507142883765,,184.69960200166892
2012,S92000003,d,75plus years,,Males,,Coronary Heart Disease,2243,,1367.75798671878,,1501.799926263186
2012,S92000003,d,75plus years,,Females,,Coronary Heart Disease,2545,,1000.14933467473,,975.3050303482686
2013,S08000015,,0-44 years,,Males,,Coronary Heart Disease,7,,7.5584973707227,,8.095560401272271
2013,S08000015,,0-44 years,,Females,,Coronary Heart Disease,2,,2.10382369957398,,2.189257350058678
2013,S08000015,,45-64 years,,Males,,Coronary Heart Disease,75,,144.731763797761,,143.52128631004683
2013,S08000015,,45-64 years,,Females,,Coronary Heart Disease,23,,40.8540267860315,,41.094647215866424
2013,S08000015,,65-74 years,,Males,,Coronary Heart Disease,95,,466.784591194969,,478.0446896710693
2013,S08000015,,65-74 years,,Females,,Coronary Heart Disease,46,,202.93819208541,,212.35850467452155
2013,S08000015,,75plus years,,Males,,Coronary Heart Disease,206,,1530.6880665775,,1604.7326756124276
2013,S08000015,,75plus years,,Females,,Coronary Heart Disease,213,,1066.65331263458,,1044.3125921448204
2013,S08000016,,0-44 years,,Males,,Coronary Heart Disease,1,,3.7824343747636,,3.381054502598582
2013,S08000016,,0-44 years,,Females,,Coronary Heart Disease,1,,3.711539175296,,4.361696824684712
2013,S08000016,,45-64 years,,Males,,Coronary Heart Disease,14,,81.6993464052288,,81.00142528921921
2013,S08000016,,45-64 years,,Females,,Coronary Heart Disease,2,,11.3314447592068,,11.36343907547909
2013,S08000016,,65-74 years,,Males,,Coronary Heart Disease,21,,300.687285223368,,311.6573959165013
2013,S08000016,,65-74 years,,Females,,Coronary Heart Disease,7,,93.9597315436242,,98.37024748610918
2013,S08000016,,75plus years,,Males,,Coronary Heart Disease,62,,1304.43930149379,,1537.301554052251
2013,S08000016,,75plus years,,Females,,Coronary Heart Disease,69,,1057.3092246399,,1026.9928350821365
2013,S08000017,,0-44 years,,Males,,Coronary Heart Disease,4,,11.4623033498582,,13.272067933899905
2013,S08000017,,0-44 years,,Females,,Coronary Heart Disease,1,,2.84357494241761,,3.5053983134026403
2013,S08000017,,45-64 years,,Males,,Coronary Heart Disease,22,,99.8638220608262,,98.73663751583206
2013,S08000017,,45-64 years,,Females,,Coronary Heart Disease,13,,56.1797752808989,,55.21902297636671
